                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0476,                0.70779,                0.91251,                0.96315,                      1,                  0.995,                0.56135,                 1.6174,                0.74341,                0.89948,             0.00031578,             0.00031578,             0.00031578
                     36,                 1.2486,                0.79675,                0.89023,                0.98549,                      1,                  0.995,                0.54656,                 1.4886,                0.71348,                0.89739,             0.00031107,             0.00031107,             0.00031107
                     37,                 1.0938,                0.71798,                0.88481,                0.98367,                      1,                  0.995,                0.58561,                  1.382,                 0.7293,                0.88614,             0.00030635,             0.00030635,             0.00030635
                     38,                 1.0342,                0.68563,                0.85493,                0.98386,                      1,                  0.995,                0.64927,                 1.2394,                0.67355,                0.86648,             0.00030164,             0.00030164,             0.00030164
                     39,                 1.0127,                0.71354,                0.87262,                0.98362,                      1,                  0.995,                0.63096,                 1.2548,                0.61037,                0.86477,             0.00029693,             0.00029693,             0.00029693
                     40,                0.98855,                0.70147,                0.84136,                0.98784,                      1,                  0.995,                0.61357,                  1.264,                0.59474,                0.86545,             0.00029222,             0.00029222,             0.00029222
                     41,                 1.0631,                0.67014,                0.86016,                0.98988,                0.83333,                0.85069,                0.47969,                 1.3379,                0.67979,                  0.901,              0.0002875,              0.0002875,              0.0002875
                     42,                 1.1419,                0.73985,                0.87612,                0.98652,                0.83333,                0.83721,                0.41613,                 1.2911,                0.75247,                0.90753,             0.00028279,             0.00028279,             0.00028279
                     43,                  1.075,                0.76982,                0.89701,                0.98012,                0.83333,                0.83595,                0.37316,                 1.5687,                 1.0019,                0.93857,             0.00027808,             0.00027808,             0.00027808
                     44,                 1.0105,                0.65541,                0.82652,                      1,                0.99811,                  0.995,                0.48478,                 1.3806,                 0.6968,                0.89435,             0.00027337,             0.00027337,             0.00027337
                     45,                0.97333,                0.63562,                0.83549,                0.98862,                      1,                  0.995,                0.50857,                 1.3147,                0.59251,                0.88397,             0.00026865,             0.00026865,             0.00026865
                     46,                 1.0658,                0.75285,                0.90795,                0.98969,                      1,                  0.995,                 0.5583,                 1.2825,                0.63178,                 0.8781,             0.00026394,             0.00026394,             0.00026394
                     47,                 1.0788,                0.68814,                0.88022,                0.98628,                      1,                  0.995,                0.59553,                 1.2824,                0.64414,                0.87469,             0.00025923,             0.00025923,             0.00025923
                     48,                0.88303,                0.61891,                0.79681,                0.97319,                      1,                  0.995,                0.68616,                 1.2725,                0.84661,                0.85955,             0.00025452,             0.00025452,             0.00025452
                     49,                0.92521,                0.58342,                0.86391,                0.97928,                      1,                  0.995,                0.65701,                 1.3296,                0.76043,                0.86096,              0.0002498,              0.0002498,              0.0002498
                     50,                 1.0518,                0.61186,                0.83207,                0.98851,                      1,                  0.995,                0.65368,                 1.3775,                 0.6463,                0.85843,             0.00024509,             0.00024509,             0.00024509
                     51,                 1.0607,                0.60523,                0.89231,                0.99193,                      1,                  0.995,                 0.6308,                 1.4474,                0.59706,                  0.864,             0.00024038,             0.00024038,             0.00024038
                     52,                 1.0627,                0.67258,                 0.8548,                0.99145,                      1,                  0.995,                0.61745,                  1.487,                0.60931,                0.86535,             0.00023567,             0.00023567,             0.00023567
                     53,                0.89082,                0.57369,                0.79143,                0.98649,                      1,                  0.995,                0.63484,                 1.4746,                0.69679,                 0.8585,             0.00023096,             0.00023096,             0.00023096
                     54,                 1.0273,                0.62878,                0.89936,                0.99209,                      1,                  0.995,                0.61969,                 1.5163,                0.71694,                0.86162,             0.00022624,             0.00022624,             0.00022624
                     55,                0.97613,                0.64451,                0.88591,                0.99408,                      1,                  0.995,                 0.6292,                 1.4851,                0.66918,                  0.859,             0.00022153,             0.00022153,             0.00022153
                     56,                0.99429,                0.62426,                0.80737,                0.98678,                      1,                  0.995,                0.62906,                 1.4787,                0.60229,                0.85539,             0.00021682,             0.00021682,             0.00021682
                     57,                0.98011,                0.60975,                0.89758,                0.98834,                      1,                  0.995,                0.62021,                 1.4817,                0.59287,                0.85607,             0.00021211,             0.00021211,             0.00021211
                     58,                 1.0038,                0.59862,                0.86767,                0.98875,                      1,                  0.995,                0.60674,                 1.4039,                0.59373,                0.85305,             0.00020739,             0.00020739,             0.00020739
                     59,                0.97719,                0.57844,                0.85367,                0.98752,                      1,                  0.995,                0.63315,                  1.421,                0.60385,                0.86038,             0.00020268,             0.00020268,             0.00020268
                     60,                 0.9132,                0.55621,                0.81584,                0.98355,                      1,                  0.995,                0.68135,                 1.3828,                 0.6952,                0.86212,             0.00019797,             0.00019797,             0.00019797
                     61,                 1.0001,                0.64384,                  0.832,                0.97781,                      1,                  0.995,                0.57402,                 1.5144,                0.90217,                0.87672,             0.00019326,             0.00019326,             0.00019326
                     62,                0.89969,                 0.5752,                0.83927,                0.98152,                      1,                  0.995,                0.54106,                 1.5814,                0.86651,                0.88507,             0.00018854,             0.00018854,             0.00018854
                     63,                0.95131,                 0.6063,                0.82585,                0.98918,                      1,                  0.995,                0.58641,                 1.5423,                0.70607,                0.88485,             0.00018383,             0.00018383,             0.00018383
                     64,                0.95089,                0.57316,                0.83294,                0.99039,                      1,                  0.995,                 0.5467,                 1.4828,                0.67515,                0.88632,             0.00017912,             0.00017912,             0.00017912
                     65,                0.85754,                0.52974,                0.81999,                0.98971,                      1,                  0.995,                0.57162,                 1.3842,                0.68235,                 0.8842,             0.00017441,             0.00017441,             0.00017441
                     66,                0.92018,                0.56535,                0.83959,                0.98863,                      1,                  0.995,                0.61886,                 1.3838,                0.68203,                0.88216,             0.00016969,             0.00016969,             0.00016969
                     67,                 1.0565,                0.56332,                0.82462,                0.98807,                      1,                  0.995,                0.64458,                 1.4089,                0.71843,                0.88679,             0.00016498,             0.00016498,             0.00016498
                     68,                0.92519,                 0.5795,                0.85526,                0.98901,                      1,                  0.995,                0.62954,                 1.3745,                0.68647,                0.87698,             0.00016027,             0.00016027,             0.00016027
                     69,                 0.8248,                0.51332,                0.78547,                 0.9876,                      1,                  0.995,                0.63146,                 1.3211,                 0.6991,                0.87216,             0.00015556,             0.00015556,             0.00015556
                     70,                0.94526,                0.56258,                 0.8417,                0.98685,                      1,                  0.995,                0.63019,                 1.2736,                0.65812,                0.86986,             0.00015084,             0.00015084,             0.00015084
                     71,                0.91148,                0.56197,                0.82493,                 0.9873,                      1,                  0.995,                0.64938,                  1.249,                0.61808,                0.86997,             0.00014613,             0.00014613,             0.00014613
                     72,                0.89735,                0.54643,                0.84495,                0.98779,                      1,                  0.995,                0.61662,                 1.2685,                0.60928,                0.87173,             0.00014142,             0.00014142,             0.00014142
                     73,                0.93274,                 0.5652,                0.84696,                0.98672,                      1,                  0.995,                0.63997,                 1.2557,                0.58974,                0.87234,             0.00013671,             0.00013671,             0.00013671
                     74,                0.96362,                0.58387,                0.86407,                0.98611,                      1,                  0.995,                0.61252,                  1.283,                0.60577,                0.87064,             0.00013199,             0.00013199,             0.00013199
